Header
rate=30
frames=107
duration=3.5
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
2.607000,79,0,0,0,-24,19,17,-52,-29,55,28,-73,-15,-2,5,0
2.640000,80,0,0,0,-23,18,15,-50,-30,54,30,-75,-15,-7,3,0
2.673000,81,0,0,0,-23,17,13,-48,-30,54,32,-77,-15,-12,3,0
2.706000,82,0,0,0,-22,17,13,-46,-30,54,34,-79,-15,-17,3,0
2.739000,83,0,0,0,-22,16,13,-44,-30,52,36,-80,-15,-22,1,0
2.772000,84,0,0,0,-22,15,14,-42,-30,52,38,-80,-15,-27,1,0
2.805000,85,0,0,0,-21,14,14,-40,-30,52,39,-78,-15,-32,1,0
2.838000,86,0,0,0,-21,13,14,-38,-30,50,37,-76,-15,-37,0,0
2.871000,87,0,0,0,-21,13,14,-36,-30,50,36,-74,-15,-42,0,0
2.904000,88,0,0,0,-20,12,14,-34,-30,50,36,-72,-15,-47,0,0
2.937000,89,0,0,0,-20,10,15,-29,-30,50,36,-68,-15,-47,0,0
2.970000,90,0,0,0,-20,10,15,-29,-30,50,36,-68,-15,-47,0,0
3.003000,91,0,0,0,-19,9,15,-25,-30,50,36,-63,-15,-47,0,0
3.036000,92,0,0,0,-19,9,15,-25,-30,50,36,-63,-15,-47,0,0
3.069000,93,0,-1,0,-18,8,15,-24,-30,50,36,-61,-15,-47,0,0
3.102000,94,0,-1,0,-15,9,15,-26,-30,50,36,-61,-15,-47,0,0
3.135000,95,0,-1,0,-12,10,15,-28,-30,50,36,-61,-14,-47,0,0
3.168000,96,0,-1,0,-9,11,14,-30,-30,50,36,-61,-14,-47,0,0
3.201000,97,0,-1,0,-6,12,14,-32,-30,50,36,-61,-13,-47,0,0
3.234000,98,0,-1,0,-3,14,14,-34,-30,50,35,-60,-13,-47,0,0
3.267000,99,0,-1,0,0,15,13,-36,-30,50,35,-60,-12,-47,0,0
3.300000,100,0,-1,0,3,16,13,-38,-30,50,35,-60,-12,-47,0,0
3.333000,101,0,-1,0,6,17,13,-40,-30,50,35,-60,-11,-47,0,0
3.366000,102,0,-2,0,9,19,12,-42,-30,49,34,-59,-10,-46,-1,0
3.399000,103,0,-2,0,9,19,12,-42,-30,49,34,-59,-10,-46,-1,0
3.432000,104,0,-2,0,11,21,9,-42,-30,49,34,-59,-7,-46,-1,0
3.465000,105,0,-2,0,13,24,6,-42,-30,49,34,-59,-4,-46,-1,0
3.498000,106,0,-2,0,15,27,2,-43,-30,50,35,-58,0,-46,0,0
3.531000,107,0,-2,0,15,27,2,-43,-30,50,35,-58,0,-46,0,0
